% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.669	1	0	0	1	67	1	0	1	12	12	1	0	0	836
0.67	1	0	0	1	67	2	0	1	12	11	1	0	0	836
0.671	1	0	0	1	67	3	0	1	12	15	1	0	0	836
0.672	1	0	0	1	67	4	0	1	12	14	1	0	0	836
0.673	1	0	0	1	67	5	0	1	12	13	1	0	0	836
0.674	1	0	0	1	67	6	0	1	12	12	1	0	0	836
0.675	1	0	0	1	67	7	0	1	12	11	1	0	0	836
0.676	1	0	0	1	67	8	0	1	12	15	1	0	0	836
0.677	1	0	0	1	67	9	0	1	12	14	1	0	0	836
0.678	1	0	0	1	68	0	0	1	12	13	1	0	0	836
0.679	1	0	0	1	68	1	0	1	12	12	1	0	0	836
0.68	1	0	0	1	68	2	0	1	12	11	1	0	0	836
0.681	1	0	0	1	68	3	0	1	12	15	1	0	0	836
0.682	1	0	0	1	68	4	0	1	12	14	1	0	0	836
0.683	1	0	0	1	68	5	0	1	12	13	1	0	0	836
0.684	1	0	0	1	68	6	0	1	12	12	1	0	0	836
0.685	1	0	0	1	68	7	0	1	12	11	1	0	0	836
0.686	1	0	0	1	68	8	0	1	12	15	1	0	0	836
0.687	1	0	0	1	68	9	0	1	12	14	1	0	0	836
0.688	1	0	0	1	69	0	0	1	12	13	1	0	0	836
0.689	1	0	0	1	69	1	0	1	12	12	1	0	0	836
0.69	1	0	0	1	69	2	0	1	12	11	1	0	0	836
0.691	1	0	0	1	69	3	0	1	12	15	1	0	0	836
0.692	1	0	0	1	69	4	0	1	12	14	1	0	0	836
0.693	1	0	0	1	69	5	0	1	12	13	1	0	0	836
0.694	1	0	0	1	69	6	0	1	12	12	1	0	0	836
0.695	1	0	0	1	69	7	0	1	12	11	1	0	0	836
0.696	1	0	0	1	69	8	0	1	11	15	1	0	0	766
0.697	1	0	0	1	69	9	0	1	12	14	1	0	0	836
0.698	1	0	0	1	70	0	0	1	12	13	1	0	0	836
0.699	1	0	0	1	70	1	0	1	12	12	1	0	0	836
0.7	1	0	0	1	70	2	0	1	12	11	1	0	0	836
0.701	1	0	0	1	70	3	0	1	12	15	1	0	0	836
0.702	1	0	0	1	70	4	0	1	12	14	1	0	0	836
0.703	1	0	0	1	70	5	0	1	12	13	1	0	0	836
0.704	1	0	0	1	70	6	0	1	12	12	1	0	0	836
0.705	1	0	0	1	70	7	0	1	12	11	1	0	0	836
0.706	1	0	0	1	70	8	0	1	12	15	1	0	0	836
0.707	1	0	0	1	70	9	0	1	12	14	1	0	0	836
0.708	1	0	0	1	71	0	0	1	12	13	1	0	0	836
0.709	1	0	0	1	71	1	0	1	12	12	1	0	0	836
0.71	1	0	0	1	71	2	0	1	12	11	1	0	0	836
0.711	1	0	0	1	71	3	0	1	12	15	1	0	0	836
0.712	1	0	0	1	71	4	0	1	12	14	1	0	0	836
0.713	1	0	0	1	71	5	0	1	12	13	1	0	0	836
0.714	1	0	0	1	71	6	0	1	12	12	1	0	0	836
0.715	1	0	0	1	71	7	0	1	12	11	1	0	0	836
0.716	1	0	0	1	71	8	0	1	12	15	1	0	0	836
0.717	1	0	0	1	71	9	0	1	12	14	1	0	0	836
0.718	1	0	0	1	72	0	0	1	12	13	1	0	0	836
0.719	1	0	0	1	72	1	0	1	12	12	1	0	0	836
0.72	1	0	0	1	72	2	0	1	12	11	1	0	0	416
0.721	1	0	0	1	72	3	0	1	12	15	1	0	0	416
0.722	1	0	0	1	72	4	0	1	12	14	1	0	0	416
0.723	1	0	0	1	72	5	0	1	12	13	1	0	0	416
0.724	1	0	0	1	72	6	0	1	12	12	1	0	0	416
0.725	1	0	0	1	72	7	0	1	12	11	1	0	0	416
0.726	1	0	0	1	72	8	0	1	12	15	1	0	0	416
0.727	1	0	0	1	72	9	0	1	12	14	1	0	0	416
0.728	1	0	0	1	73	0	0	1	12	13	1	0	0	416
0.729	1	0	0	1	73	1	0	1	12	12	1	0	0	416
0.73	1	0	0	1	73	2	0	1	12	11	1	0	0	416
0.731	1	0	0	1	73	3	0	1	12	15	1	0	0	416
0.732	1	0	0	1	73	4	0	1	12	14	1	0	0	416
0.733	1	0	0	1	73	5	0	1	12	13	1	0	0	416
0.734	1	0	0	1	73	6	0	1	12	12	1	0	0	416
0.735	1	0	0	1	73	7	0	1	12	11	1	0	0	416
0.736	1	0	0	1	73	8	0	1	12	15	1	0	0	416
0.737	1	0	0	1	73	9	0	1	12	14	1	0	0	416
0.738	1	0	0	1	74	0	0	1	12	13	1	0	0	416
0.739	1	0	0	1	74	1	0	1	12	12	1	0	0	416
0.74	1	0	0	1	74	2	0	1	12	11	1	0	0	416
0.741	1	0	0	1	74	3	0	1	12	15	1	0	0	416
0.742	1	0	0	1	74	4	0	1	12	14	1	0	0	416
0.743	1	0	0	1	74	5	0	1	12	13	1	0	0	416
0.744	1	0	0	1	74	6	0	1	12	12	1	0	0	416
0.745	1	0	0	1	74	7	0	1	12	11	1	0	0	416
0.746	1	0	0	1	74	8	0	1	12	15	1	0	0	416
0.747	1	0	0	1	74	9	0	1	12	14	1	0	0	416
0.748	1	0	0	1	75	0	0	1	12	13	1	0	0	416
0.749	1	0	0	1	75	1	0	1	12	12	1	0	0	416
0.75	1	0	0	1	75	2	0	1	12	11	1	0	0	416
0.751	1	0	0	1	75	3	0	1	12	15	1	0	0	416
0.752	1	0	0	1	75	4	0	1	12	14	1	0	0	416
0.753	1	0	0	1	75	5	0	1	12	13	1	0	0	416
0.754	1	0	0	1	75	6	0	1	12	12	1	0	0	416
0.755	1	0	0	1	75	7	0	1	12	11	1	0	0	416
0.756	1	0	0	1	75	8	0	1	12	15	1	0	0	416
0.757	1	0	0	1	75	9	0	1	12	14	1	0	0	416
0.758	1	0	0	1	76	0	0	1	12	13	1	0	0	416
0.759	1	0	0	1	76	1	0	1	12	12	1	0	0	416
0.76	1	0	0	1	76	2	0	1	12	11	1	0	0	416
0.761	1	0	0	1	76	3	0	1	12	15	1	0	0	416
0.762	1	0	0	1	76	4	0	1	12	14	1	0	0	416
0.763	1	0	0	1	76	5	0	1	12	13	1	0	0	416
0.764	1	0	0	1	76	6	0	1	12	12	1	0	0	416
0.765	1	0	0	1	76	7	0	1	12	11	1	0	0	416
0.766	1	0	0	1	76	8	0	1	12	15	1	0	0	416
0.767	1	0	0	1	76	9	0	1	12	14	1	0	0	416
0.768	1	0	0	1	77	0	0	1	12	13	1	0	0	416
0.769	1	0	0	1	77	1	0	1	12	12	1	0	0	416
0.77	1	0	0	1	77	2	0	1	12	11	1	0	0	416
0.771	1	0	0	1	77	3	0	1	12	15	1	0	0	416
0.772	1	0	0	1	77	4	0	1	12	14	1	0	0	416
0.773	1	0	0	1	77	5	0	1	12	13	1	0	0	416
0.774	1	0	0	1	77	6	0	1	12	12	1	0	0	416
0.775	1	0	0	1	77	7	0	1	12	11	1	0	0	416
0.776	1	0	0	1	77	8	0	1	11	15	1	0	0	381
0.777	1	0	0	1	77	9	0	1	12	14	1	0	0	416
0.778	1	0	0	1	78	0	0	1	12	13	1	0	0	416
0.779	1	0	0	1	78	1	0	1	12	12	1	0	0	416
0.78	1	0	0	1	78	2	0	1	12	11	1	0	0	416
0.781	1	0	0	1	78	3	0	1	12	15	1	0	0	416
0.782	1	0	0	1	78	4	0	1	12	14	1	0	0	416
0.783	1	0	0	1	78	5	0	1	12	13	1	0	0	416
0.784	1	0	0	1	78	6	0	1	12	12	1	0	0	416
0.785	1	0	0	1	78	7	0	1	12	11	1	0	0	416
0.786	1	0	0	1	78	8	0	1	12	15	1	0	0	416
0.787	1	0	0	1	78	9	0	1	12	14	1	0	0	416
0.788	1	0	0	1	79	0	0	1	12	13	1	0	0	416
0.789	1	0	0	1	79	1	0	1	12	12	1	0	0	416
0.79	1	0	0	1	79	2	0	1	12	11	1	0	0	416
0.791	1	0	0	1	79	3	0	1	12	15	1	0	0	416
0.792	1	0	0	1	79	4	0	1	12	14	1	0	0	416
0.793	1	0	0	1	79	5	0	1	12	13	1	0	0	416
0.794	1	0	0	1	79	6	0	1	12	12	1	0	0	416
0.795	1	0	0	1	79	7	0	1	12	11	1	0	0	416
