time(s)	cellId	rnti	lcid	packetSize
0.983	1	1	4	833
0.984	1	1	4	833
0.985	1	1	4	833
0.986	1	1	4	833
0.987	1	1	4	833
0.988	1	1	4	833
0.989	1	1	4	833
0.99	1	1	4	833
0.991	1	1	4	833
0.992	1	1	4	833
0.993	1	1	4	833
0.994	1	1	4	833
0.995	1	1	4	833
0.996	1	1	4	833
0.997	1	1	4	833
0.998	1	1	4	833
0.999	1	1	4	833
