time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.673029	1	1	4	1030	0.264507
0.674029	1	1	4	1030	0.265467
0.675029	1	1	4	1030	0.266427
0.676029	1	1	4	1030	0.267387
0.678029	1	1	4	1030	0.269347
0.679029	1	1	4	1030	0.270307
0.680029	1	1	4	1030	0.271267
0.681029	1	1	4	1030	0.272227
0.682029	1	1	4	1030	0.273187
0.684029	1	1	4	1030	0.275147
0.685029	1	1	4	1030	0.276107
0.686029	1	1	4	1030	0.277067
0.687029	1	1	4	1030	0.278027
0.689029	1	1	4	1030	0.279987
0.690029	1	1	4	1030	0.280947
0.691029	1	1	4	1030	0.281907
0.692029	1	1	4	1030	0.282867
0.694029	1	1	4	1030	0.284827
0.695029	1	1	4	1030	0.285787
0.696029	1	1	4	1030	0.286747
0.697029	1	1	4	1030	0.287707
0.698957	1	1	4	1030	0.289595
0.700029	1	1	4	1030	0.290627
0.701029	1	1	4	1030	0.291587
0.702029	1	1	4	1030	0.292547
0.704029	1	1	4	1030	0.294507
0.705029	1	1	4	1030	0.295467
0.706029	1	1	4	1030	0.296427
0.707029	1	1	4	1030	0.297387
0.709029	1	1	4	1030	0.299347
0.710029	1	1	4	1030	0.300307
0.711029	1	1	4	1030	0.301267
0.712029	1	1	4	1030	0.302227
0.714029	1	1	4	1030	0.304187
0.715029	1	1	4	1030	0.305147
0.716029	1	1	4	1030	0.306107
0.717029	1	1	4	1030	0.307067
0.719029	1	1	4	1030	0.309027
0.720029	1	1	4	1030	0.309987
0.721029	1	1	4	1030	0.310947
0.722029	1	1	4	1030	0.311907
0.725029	1	1	4	1030	0.314867
0.727029	1	1	4	1030	0.316827
0.730029	1	1	4	1030	0.319787
0.732029	1	1	4	1030	0.321747
0.735029	1	1	4	1030	0.324707
0.737029	1	1	4	1030	0.326667
0.740029	1	1	4	1030	0.329627
0.742029	1	1	4	1030	0.331587
0.745029	1	1	4	1030	0.334547
0.747029	1	1	4	1030	0.336507
0.750029	1	1	4	1030	0.339467
0.752029	1	1	4	1030	0.341427
0.755029	1	1	4	1030	0.344387
0.757029	1	1	4	1030	0.346347
0.760029	1	1	4	1030	0.349307
0.762029	1	1	4	1030	0.351267
0.765029	1	1	4	1030	0.354227
0.767029	1	1	4	1030	0.356187
0.770029	1	1	4	1030	0.359147
0.772029	1	1	4	1030	0.361107
0.775029	1	1	4	1030	0.364067
0.777029	1	1	4	1030	0.366027
0.780029	1	1	4	1030	0.368987
0.782029	1	1	4	1030	0.370947
0.785029	1	1	4	1030	0.373907
0.787029	1	1	4	1030	0.375867
0.790029	1	1	4	1030	0.378827
0.792029	1	1	4	1030	0.380787
0.795029	1	1	4	1030	0.383747
0.798029	1	1	4	1030	0.386707
0.800029	1	1	4	1030	0.388667
0.803029	1	1	4	1030	0.391627
0.805029	1	1	4	1030	0.393587
0.808029	1	1	4	1030	0.396547
0.810029	1	1	4	1030	0.398507
0.813029	1	1	4	1030	0.401467
0.815029	1	1	4	1030	0.403427
0.818029	1	1	4	1030	0.406387
0.820029	1	1	4	1030	0.408347
0.823029	1	1	4	1030	0.411307
0.824029	1	1	4	1030	0.412267
0.826029	1	1	4	1030	0.414227
0.827029	1	1	4	1030	0.415187
0.828029	1	1	4	1030	0.416147
0.829029	1	1	4	1030	0.417107
0.831029	1	1	4	1030	0.419067
0.832029	1	1	4	1030	0.420027
0.833029	1	1	4	1030	0.420987
0.834029	1	1	4	1030	0.421947
0.835029	1	1	4	1030	0.422907
0.837029	1	1	4	1030	0.424867
