Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.506929	DL	50	6	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.507929	DL	50	7	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.508929	DL	50	8	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.509929	DL	50	9	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.510929	DL	51	0	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.511929	DL	51	1	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.512929	DL	51	2	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.513929	DL	51	3	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.514929	DL	51	4	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.515929	DL	51	5	0	1	12	1	0	1	836	0	2	0	50.6659	15	0	0
0.516929	DL	51	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.517929	DL	51	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.518929	DL	51	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.519929	DL	51	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.520929	DL	52	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.521929	DL	52	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.522929	DL	52	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.523929	DL	52	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.524929	DL	52	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.525929	DL	52	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.526929	DL	52	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.527929	DL	52	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.528929	DL	52	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.529929	DL	52	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.530929	DL	53	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.531929	DL	53	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.532929	DL	53	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.533929	DL	53	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.534929	DL	53	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.535929	DL	53	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.536929	DL	53	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.537929	DL	53	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.538857	DL	53	8	0	1	11	1	0	1	766	0	2	0	61.374	15	0	0
0.539929	DL	53	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.540929	DL	54	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.541929	DL	54	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.542929	DL	54	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.543929	DL	54	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.544929	DL	54	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.545929	DL	54	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.546929	DL	54	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.547929	DL	54	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.548929	DL	54	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.549929	DL	54	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.550929	DL	55	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.551929	DL	55	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.552929	DL	55	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.553929	DL	55	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.554929	DL	55	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.555929	DL	55	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.556929	DL	55	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.557929	DL	55	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.558929	DL	55	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.559929	DL	55	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.560929	DL	56	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.561929	DL	56	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.562929	DL	56	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.563929	DL	56	3	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.564929	DL	56	4	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.565929	DL	56	5	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.566929	DL	56	6	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.567929	DL	56	7	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.568929	DL	56	8	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.569929	DL	56	9	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.570929	DL	57	0	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.571929	DL	57	1	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
0.572929	DL	57	2	0	1	12	1	0	1	836	0	2	0	61.374	15	0	0
